;id;contactid;opportunityid;role;contact_id;contact_accountid;contact_fullname;contact_job_title;opportunity_id;opportunity_accountid;opportunity_type;opportunity_ownerid;opportunity_deal_license_activation_start_date__c;opportunity_deal_license_activation_end_date__c;opportunity_closedate;opportunity_createddate;opportunity_opportunity_stage_status__c;opportunity_leadsource_category__c;opportunity_deal_total_non_recurring__c;opportunity_deal_total_recurring__c;opportunity_currencyisocode;opportunity_LeadSource;opportunity_Deal_use_case__c;opportunity_name
10;00K09000001l3OEEAY;0030900000C48m7AAB;00609000007UewhAAC;Practitioner;0030900000C48m7AAB;00109000005fzdnAAA;Shaun Stout;Optician, dispensing;00609000007UewhAAC;00109000005fzdnAAA;New Business;00509000000V8dTAAS; ; ;2021-06-30;2021-04-02;Open;Marketing;0.0;0.0;EUR;SEO - Organic;Comex Dashboard;Advanced dedicated portal
11;00K09000001gnQqEAI;00309000008Cs9UAAS;00609000006scMiAAI;Economic Buyer;00309000008Cs9UAAS;00109000009mxAsAAI;Stacy Brown;Communications engineer;00609000006scMiAAI;00109000009mxAsAAI;Renew;00509000000V8fOAAS;2023-03-15;2025-03-14;2023-03-15;2021-03-15;Open;Marketing;0.0;32480.61;USD; ; ;Inverse context-sensitive application
12;00K090000019O1REAU;00309000003rjHwAAI;00609000002J4tLAAS;Billing;00309000003rjHwAAI;00109000005fryaAAA;Shane Simpson;Insurance underwriter;00609000002J4tLAAS;00109000005fryaAAA;New Business;00509000000V8dTAAS;2021-03-08;2024-03-07;2021-06-30;2021-01-25;Open;Marketing;0.0;0.0;EUR; ; ;Persistent maximized throughput
13;00K09000001gntXEAQ;00309000003s5Y5AAI;00609000002J50ZAAS;Billing;00309000003s5Y5AAI;00109000005fz2rAAA;Phillip Romero;Radiographer, diagnostic;00609000002J50ZAAS;00109000005fvDXAAY;Renew;00509000000V8drAAC;2021-03-25;2022-03-24;2021-03-30;2021-01-26;Won;Marketing;0.0;236871.25;EUR; ; ;Ergonomic solution-oriented strategy
14;00K090000019TzwEAE;00309000003ra4NAAQ;00609000002J50DAAS;Champion;00309000003ra4NAAQ;00109000005fsk7AAA;John Steele;Engineer, petroleum;00609000002J50DAAS;00109000005fsk7AAA;Renew;00509000000V8dSAAS;2021-01-01;2021-12-31;2021-03-22;2021-01-26;Won;Marketing;0.0;45275.78999999999;EUR; ; ;Streamlined attitude-oriented circuit
15;00K09000001goTaEAI;0030900000A7JK3AAN;00609000007UaKQAA0;Champion;0030900000A7JK3AAN;0010900000By1h2AAB;Jack Sims;Charity officer;00609000007UaKQAA0;0010900000By1h2AAB;New Business;00509000000V8eGAAS; ; ;2021-09-30;2021-03-29;Open;SDR Generated;0.0;0.0;EUR;Sales Generated Lead - by SDR;Human Resources Monitoring;Diverse discrete workforce
16;00K090000019OXdEAM;00309000003sV1QAAU;00609000002JMZiAAO;Champion;00309000003sV1QAAU;00109000005gvZPAAY;Wesley Navarro;Textile designer;00609000002JMZiAAO;00109000005gvZPAAY;New Business;00509000000V8eGAAS; ; ;2021-06-30;2021-02-04;Open;Marketing;0.0;0.0;EUR;Referral - Founders & Toucan's Network;Banking Monitoring;Innovative global hardware
17;00K090000019O8gEAE;00309000003rpsrAAA;00609000002IulBAAS;Economic Buyer;00309000003rpsrAAA;00109000005fuMOAAY;Russell Bennett;Town planner;00609000002IulBAAS;00109000005fuMOAAY;New Business;00509000000V8eGAAS; ; ;2021-07-30;2021-01-11;Open;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Optimized dynamic structure
18;00K09000001l1DCEAY;00309000003rnziAAA;00609000002J4yVAAS; ;00309000003rnziAAA;00109000005fsUGAAY;Kimberly Carpenter;Adult nurse;00609000002J4yVAAS;00109000005fsUGAAY;Renew;00509000003zITvAAM;2021-07-15;2022-07-14;2021-07-15;2021-01-26;Open;Marketing;0.0;0.0;EUR; ; ;Upgradable system-worthy array
19;00K09000001gfieEAA;00309000008Cs9UAAS;00609000002JeW3AAK;Economic Buyer;00309000008Cs9UAAS;00109000009mxAsAAI;Stacy Brown;Communications engineer;00609000002JeW3AAK;00109000009mxAsAAI;New Business;00509000000V8eVAAS;2021-03-15;2022-03-14;2021-03-12;2021-02-25;Won;Marketing;0.0;22954.23;USD;Software Comparison;Embedded Analytics for Software Companies;Cross-platform uniform secured line
20;00K09000001l2YPEAY;00309000008D5KPAA0;00609000006sZyDAAU;Economic Buyer;00309000008D5KPAA0;0010900000BwgJRAAZ;Thomas Bennett;Prison officer;00609000006sZyDAAU;0010900000BwgJRAAZ;New Business;00509000002DYLzAAO;2021-04-14;2022-04-13;2021-05-15;2021-03-10;Open;Marketing;0.0;0.0;USD;Software Comparison;No specific Use Case yet;Automated analyzing portal
21;00K09000001gfp0EAA;00309000003rZwbAAE;00609000002JgQwAAK;Champion;00309000003rZwbAAE;00109000005fs6MAAQ;Michelle Sims;Oncologist;00609000002JgQwAAK;00109000005fs6MAAQ;Upsell;00509000000V8dwAAC; ; ;2021-06-30;2021-03-01;Open;Marketing;0.0;0.0;EUR;Outsourcing - Outreach, Affiliates;No specific Use Case yet;Operative scalable archive
22;00K090000019O9WEAU;00309000003sBUsAAM;00609000002J8X2AAK;Champion;00309000003sBUsAAM;00109000005gQ36AAE;Daniel Ford;Lawyer;00609000002J8X2AAK;00109000005gQ36AAE;New Business;00509000000V8eBAAS; ; ;2021-02-22;2021-01-28;Lost;Marketing;0.0;0.0;EUR;Outsourcing - Outreach, Affiliates;Embedded Analytics for Software Companies;Cross-platform empowering secured line
23;00K090000019U54EAE;00309000003rnpBAAQ;00609000002IuyMAAS;Economic Buyer;00309000003rnpBAAQ;00109000005g2MvAAI;Haley Barnes;Field seismologist;00609000002IuyMAAS;00109000005g2MvAAI;New Business;00509000002DYLzAAO;2021-03-23;2022-03-22;2021-03-26;2021-01-07;Won;Marketing;0.0;20050.83;USD;Marketing before 2021;Embedded Analytics for Software Companies;Virtual radical functionalities
24;00K090000019MmiEAE;00309000003rlvmAAA;00609000002IvRBAA0;Champion;00309000003rlvmAAA;00109000005fuhxAAA;Cheyenne Mitchell;Dentist;00609000002IvRBAA0;00109000005fuhxAAA;New Business;00509000000V8eQAAS; ; ;2021-03-25;2020-11-12;Lost;Marketing;0.0;0.0;EUR; ; ;Pre-emptive responsive neural-net
25;00K090000019MfYEAU;00309000003rTbvAAE;00609000002IuEuAAK;Economic Buyer;00309000003rTbvAAE;00109000005fryaAAA;Kathleen Mills;Dramatherapist;00609000002IuEuAAK;00109000005fryaAAA;New Business;00509000000V8dTAAS;2021-01-08;2021-04-07;2021-01-27;2020-10-26;Won;Marketing;18093.46;0.0;EUR;Marketing before 2021; ;Automated homogeneous success
26;00K09000001go4PEAQ;00309000003rdJjAAI;00609000002IuzbAAC;Champion;00309000003rdJjAAI;00109000005g0y7AAA;Douglas Martinez;Human resources officer;00609000002IuzbAAC;00109000005fzIiAAI;New Business;00509000000V8e1AAC; ; ;2021-05-31;2020-09-29;Open;Marketing;30472.77;0.0;EUR;Marketing before 2021; ;Open-source user-facing installation
27;00K09000001go4OEAQ;00309000003rdJjAAI;00609000002IuzbAAC;Economic Buyer;00309000003rdJjAAI;00109000005g0y7AAA;Douglas Martinez;Human resources officer;00609000002IuzbAAC;00109000005fzIiAAI;New Business;00509000000V8e1AAC; ; ;2021-05-31;2020-09-29;Open;Marketing;30472.77;0.0;EUR;Marketing before 2021; ;Open-source user-facing installation
28;00K09000001l1A4EAI;00309000003rpnCAAQ;00609000002JYsdAAG;Billing;00309000003rpnCAAQ;00109000005g1rZAAQ;Kristen Bryan;Engineer, communications;00609000002JYsdAAG;00109000005fx3HAAQ;Renew;00509000000WaNTAA0;2021-05-11;2022-05-10;2021-04-12;2021-02-17;Won;Marketing;0.0;6058.95;EUR; ; ;Decentralized stable implementation
29;00K09000001gftcEAA;00309000008D2pLAAS;00609000006sZ4mAAE;Champion;00309000008D2pLAAS;00109000005fsegAAA;Pamela Martin;Immunologist;00609000006sZ4mAAE;00109000005fsegAAA;New Business;00509000000V8eQAAS;2021-05-03;2022-05-02;2021-09-30;2021-03-09;Open;Marketing;0.0;0.0;EUR;SEO - Organic;Portal for Public Sector;Distributed empowering success
30;00K090000019OKWEA2;00309000003sKfQAAU;00609000002JBLpAAO;Champion;00309000003sKfQAAU;00109000005gbx8AAA;Brian Love;Logistics and distribution manager;00609000002JBLpAAO;00109000005gbx8AAA;New Business;00509000000V8eGAAS; ; ;2021-04-30;2021-02-01;Open;Marketing;0.0;0.0;EUR;Cold Outreach - Database we own;Banking Monitoring;Synergized modular software
31;00K09000001goGOEAY;00309000008DXxyAAG;00609000007UWyoAAG;Economic Buyer;00309000008DXxyAAG;0010900000BxVUFAA3;Jennifer Smith;Mechanical engineer;00609000007UWyoAAG;0010900000BxVUFAA3;New Business;00509000002DYLzAAO; ; ;2021-05-31;2021-03-23;Open;Marketing;0.0;0.0;USD;Software Comparison;Embedded Analytics for Software Companies;Organic object-oriented parallelism
32;00K090000019Oi7EAE;00309000003sYilAAE;00609000002JROfAAO;Champion;00309000003sYilAAE;00109000005h4AyAAI;Melissa Kim;Designer, interior/spatial;00609000002JROfAAO;00109000005h4AyAAI;New Business;00509000000V8eGAAS; ; ;2021-07-30;2021-02-08;Open;Marketing;0.0;0.0;EUR;Content, Events & webinar - Co-marketing; ;Centralized motivating infrastructure
33;00K090000019O37EAE;00309000003rq2kAAA;00609000002J4zOAAS;Champion;00309000003rq2kAAA;00109000005fwnkAAA;Stephen Simmons;Naval architect;00609000002J4zOAAS;00109000005fwnkAAA;New Business;00509000000V8e1AAC; ; ;2021-09-30;2021-01-26;Open;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Team-oriented 6thgeneration application
34;00K090000019O36EAE;00309000003rq2kAAA;00609000002J4zOAAS;Economic Buyer;00309000003rq2kAAA;00109000005fwnkAAA;Stephen Simmons;Naval architect;00609000002J4zOAAS;00109000005fwnkAAA;New Business;00509000000V8e1AAC; ; ;2021-09-30;2021-01-26;Open;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Team-oriented 6thgeneration application
35;00K09000001gnQYEAY;00309000008D9LsAAK;00609000006sc5RAAQ;Champion;00309000008D9LsAAK;00109000005g0hQAAQ;Isabel Garcia;Further education lecturer;00609000006sc5RAAQ;0010900000Bx0RhAAJ;New Business;00509000000V8dTAAS; ; ;2021-05-31;2021-03-15;Open;Partner Sourced;0.0;0.0;EUR;Partner Sourced - Alliances;Comex Dashboard;Team-oriented upward-trending archive
36;00K09000001goM0EAI;00309000008DmE9AAK;00609000002JYrVAAW;Billing;00309000008DmE9AAK;00109000005ftzjAAA;Donald Wilson;Physicist, medical;00609000002JYrVAAW;00109000005ftzjAAA;Renew;00509000000V8dmAAC;2021-03-16;2022-03-15;2021-03-24;2021-02-17;Won;Marketing;0.0;7773.85;EUR; ; ;Open-source background data-warehouse
37;00K09000001l1A9EAI;00309000003rnERAAY;00609000002JYraAAG;Practitioner;00309000003rnERAAY;00109000005fyb6AAA;David Miller;Tour manager;00609000002JYraAAG;00109000005ftqcAAA;Renew;00509000003zITvAAM;2021-03-03;2022-03-02;2021-03-03;2021-02-17;Open;Marketing;0.0;46526.96;EUR; ; ;Enterprise-wide web-enabled function
38;00K09000001l2fIEAQ;0030900000A7geCAAR;00609000007UewwAAC;Billing;0030900000A7geCAAR;00109000005fv7SAAQ;Jeffrey Robertson;General practice doctor;00609000007UewwAAC;00109000005fv7SAAQ;New Business;00509000000V8dTAAS;2021-04-12;2022-04-11;2021-04-12;2021-04-02;Won;Marketing;11033.9;22182.37;EUR;SEO - Organic;Comex Dashboard;Integrated radical function
39;00K090000019OD3EAM;00309000003rx2yAAA;00609000002IzQpAAK;Economic Buyer;00309000003rx2yAAA;00109000005g8wBAAQ;Stephanie Caldwell;Early years teacher;00609000002IzQpAAK;00109000005g8wBAAQ;New Business;00509000000V8dTAAS; ; ;2021-02-04;2021-01-18;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM;No specific Use Case yet;Cross-platform object-oriented extranet
40;00K09000001go9zEAA;00309000008DQEaAAO;00609000007UXOyAAO;Billing;00309000008DQEaAAO;00109000005fy34AAA;Stephanie Rodriguez;Educational psychologist;00609000007UXOyAAO;00109000005fy34AAA;Renew;00509000000V8drAAC;2022-02-01;2025-01-31;2022-02-01;2021-03-24;Open;Marketing;0.0;136016.62;EUR; ; ;Virtual national paradigm
41;00K090000019LvYEAU;00309000003rVSxAAM;00609000002IuHYAA0;Champion;00309000003rVSxAAM;00109000005fs5MAAQ;Roger Miranda;Senior tax professional/tax inspector;00609000002IuHYAA0;00109000005fs5MAAQ;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-09-17;Lost;Partner Sourced;0.0;0.0;EUR;Partner Sourced - Alliances; ;User-centric explicit intranet
42;00K090000019LvZEAU;00309000003rVSzAAM;00609000002Iuu6AAC;Champion;00309000003rVSzAAM;00109000005fy34AAA;Sean Pearson;Colour technologist;00609000002Iuu6AAC;00109000005fy34AAA;New Business;00509000000WaQSAA0; ; ;2018-09-18;2018-09-20;Lost;Marketing;0.0;0.0;EUR;Marketing before 2021; ;Sharable upward-trending contingency
43;00K090000019LvaEAE;00309000003rVT0AAM;00609000002IuASAA0;Champion;00309000003rVT0AAM; ;Kylie Marshall;Illustrator;;;;;;;;;;;;;;;;
44;00K090000019LvbEAE;00309000003rVT1AAM;00609000002IvQ8AAK;Champion;00309000003rVT1AAM;00109000005fuCsAAI;John Allen;Psychologist, occupational;00609000002IvQ8AAK;00109000005fuCsAAI;New Business;00509000000WaNOAA0; ; ;2018-10-04;2018-05-04;Lost;Marketing;0.0;0.0;EUR; ; ;Versatile grid-enabled flexibility
45;00K090000019LvcEAE;00309000003rVT6AAM;00609000002Iu9eAAC;Champion;00309000003rVT6AAM;00109000005ftbdAAA;David Rivera;Paramedic;;;;;;;;;;;;;;;;
46;00K090000019LvdEAE;00309000003rVT8AAM;00609000002IuJsAAK;Champion;00309000003rVT8AAM;00109000005fsFrAAI;Robyn Jefferson;Agricultural consultant;00609000002IuJsAAK;00109000005fsFrAAI;New Business;00509000000Wm9iAAC; ; ;2019-01-22;2018-04-29;Lost;Marketing;0.0;0.0;EUR; ; ;Programmable static function
47;00K090000019LveEAE;00309000003rVTFAA2;00609000002IvMYAA0;Champion;00309000003rVTFAA2;00109000005ftZkAAI;Michael Arroyo;Interpreter;00609000002IvMYAA0;00109000005ftZkAAI;New Business;00509000000WaPyAAK; ; ;2019-02-25;2018-05-03;Lost;Marketing;0.0;0.0;EUR; ; ;Streamlined homogeneous collaboration
48;00K090000019LvfEAE;00309000003rVTHAA2;00609000002IvMJAA0;Champion;00309000003rVTHAA2;00109000005ftZOAAY;Vickie Conrad;Farm manager;00609000002IvMJAA0;00109000005ftZOAAY;New Business;00509000000Wm9iAAC; ; ;2019-01-21;2018-04-30;Lost;Marketing;0.0;0.0;EUR; ; ;Function-based web-enabled Graphic Interface
49;00K090000019LvgEAE;00309000003rVTLAA2;00609000002IvMKAA0;Champion;00309000003rVTLAA2;00109000005ftZPAAY;Susan Jensen;Teacher, secondary school;00609000002IvMKAA0;00109000005ftZPAAY;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-06-01;Lost;Sales Generated;18610.84;0.0;EUR;Sales Generated Lead - by AE/AM; ;Realigned client-server collaboration
50;00K090000019LvhEAE;00309000003rVTNAA2;00609000002IvCqAAK;Champion;00309000003rVTNAA2;00109000005fsjRAAQ;Jon Sanchez;Clinical molecular geneticist;00609000002IvCqAAK;00109000005fsjRAAQ;New Business;00509000000V8fYAAS; ; ;2018-12-13;2018-09-20;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Re-contextualized homogeneous orchestration
51;00K090000019LviEAE;00309000003rVTOAA2;00609000002IvMLAA0;Champion;00309000003rVTOAA2;00109000005ftZQAAY;Hector Kennedy;Teacher, early years/pre;00609000002IvMLAA0;00109000005ftZQAAY;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-04-30;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Total exuding analyzer
52;00K090000019LvjEAE;00309000003rVTPAA2;00609000002IuiGAAS;Champion;00309000003rVTPAA2;00109000005fu4qAAA;Kelly Zimmerman;Stage manager;00609000002IuiGAAS;00109000005fu4qAAA;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-09-27;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Streamlined 24/7 open system
53;00K090000019LvkEAE;00309000003rVTRAA2;00609000002IuIJAA0;Champion;00309000003rVTRAA2;00109000005fsBnAAI;Larry Coleman;Health and safety inspector;00609000002IuIJAA0;00109000005fsBnAAI;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-04-30;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Extended mission-critical functionalities
54;00K090000019LvlEAE;00309000003rVTSAA2;00609000002IvFNAA0;Champion;00309000003rVTSAA2;00109000005fspdAAA;Melissa Jackson;Software engineer;00609000002IvFNAA0;00109000005fspdAAA;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-04-30;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Digitized dynamic firmware
55;00K090000019LvmEAE;00309000003rVTTAA2;00609000002IuNQAA0;Champion;00309000003rVTTAA2;00109000005fsQ8AAI;Ronnie Robinson;Producer, television/film/video;00609000002IuNQAA0;00109000005fsQ8AAI;New Business;00509000000V8gCAAS; ; ;2018-10-22;2018-09-14;Lost;Sales Generated;39827.94;0.0;EUR;Sales Generated Lead - by AE/AM; ;Synchronized human-resource task-force
56;00K090000019LvnEAE;00309000003rVTUAA2;00609000002IuXjAAK;Champion;00309000003rVTUAA2;00109000005fsz6AAA;Sarah Washington;Dancer;00609000002IuXjAAK;00109000005fsz6AAA;New Business;00509000000V8dTAAS; ; ;2018-11-15;2018-04-30;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Horizontal maximized standardization
57;00K090000019LvoEAE;00309000003rVTWAA2;00609000002IvMOAA0;Champion;00309000003rVTWAA2;00109000005ftZTAAY;Carolyn Buckley;Restaurant manager;00609000002IvMOAA0;00109000005ftZTAAY;New Business;00509000000V8f4AAC; ; ;2018-06-29;2018-05-21;Won;Marketing;0.0;0.0;EUR; ; ;Robust cohesive instruction set
58;00K090000019LvpEAE;00309000003rVTbAAM;00609000002IvMRAA0;Champion;00309000003rVTbAAM;00109000005ftZXAAY;David Andrews;Insurance risk surveyor;00609000002IvMRAA0;00109000005ftZXAAY;New Business;00509000000WaQSAA0; ; ;2018-12-19;2018-04-30;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Diverse tertiary Local Area Network
59;00K090000019LvqEAE;00309000003rqIxAAI;00609000002IuQAAA0;Champion;00309000003rqIxAAI;00109000005fsegAAA;Kyle Miller;Magazine features editor;00609000002IuQAAA0;00109000005fsegAAA;New Business;00509000000V8f9AAC; ; ;2018-10-16;2018-05-03;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Balanced scalable data-warehouse
60;00K090000019LvrEAE;00309000003rqv1AAA;00609000002Iv9iAAC;Champion;00309000003rqv1AAA;00109000005fuQtAAI;Nicholas Hayes;Phytotherapist;00609000002Iv9iAAC;00109000005fsNfAAI;New Business;00509000000V8dTAAS; ; ;2018-12-10;2018-05-16;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Ergonomic actuating time-frame
61;00K090000019LvsEAE;00309000003rkKzAAI;00609000002Iv4CAAS;Champion;00309000003rkKzAAI;00109000005fs71AAA;Timothy Burton;Soil scientist;00609000002Iv4CAAS;00109000005fs71AAA;New Business;00509000000V8fYAAS; ; ;2019-01-14;2018-06-25;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM; ;Multi-layered interactive intranet
62;00K090000019LvtEAE;00309000003rmG8AAI;00609000002Iuc6AAC;Champion;00309000003rmG8AAI;00109000005ftReAAI;Kathleen Henry;Building control surveyor;00609000002Iuc6AAC;00109000005ftReAAI;New Business;00509000000V8dTAAS; ; ;2018-06-21;2018-05-22;Lost;Partner Sourced;11059.67;0.0;EUR;Partner Sourced - Alliances; ;Extended 24/7 archive
63;00K090000019LvuEAE;00309000003rlrJAAQ;00609000002IuNyAAK;Champion;00309000003rlrJAAQ;00109000005fsR9AAI;Lee Roberts;Nurse, learning disability;00609000002IuNyAAK;00109000005fsR9AAI;New Business;00509000000V8eQAAS; ; ;2019-08-27;2018-06-24;Lost;Marketing;59809.69;0.0;EUR; ; ;Face-to-face optimal algorithm
64;00K090000019LvvEAE;00309000003rhW7AAI;00609000002Iv5fAAC;Champion;00309000003rhW7AAI;00109000005fs26AAA;Maurice Adams;Prison officer;00609000002Iv5fAAC;00109000005fsCTAAY;New Business;00509000000V8fTAAS; ; ;2019-07-03;2018-06-22;Lost;Partner Sourced;0.0;0.0;EUR;Partner Sourced - Alliances; ;Cloned static project
65;00K090000019LvwEAE;00309000003rkw0AAA;00609000002IuShAAK;Champion;00309000003rkw0AAA;00109000005fskqAAA;Lisa Ferguson;Aid worker;00609000002IuShAAK;00109000005fskqAAA;New Business;00509000000V8dTAAS; ; ;2019-01-15;2018-05-03;Lost;Partner Sourced;0.0;0.0;EUR;Partner Sourced - Alliances; ;Multi-lateral empowering architecture
66;00K090000019LvxEAE;00309000003rnOwAAI;00609000002IvMPAA0;Champion;00309000003rnOwAAI;00109000005ftZTAAY;Mary Johnson;Neurosurgeon;00609000002IvMPAA0;00109000005ftZTAAY;New Business;00509000000V8eGAAS; ; ;2018-09-04;2018-05-03;Lost;Marketing;0.0;0.0;EUR;Others Marketing; ;Synergistic maximized adapter
67;00K090000019LvyEAE;00309000003rr4mAAA;00609000002IuN0AAK;Champion;00309000003rr4mAAA;00109000005g2YeAAI;Nathan Harris;Systems analyst;00609000002IuN0AAK;00109000005fsOqAAI;New Business;00509000000V8gMAAS; ; ;2018-10-04;2018-05-03;Lost;Marketing;0.0;0.0;EUR;Marketing before 2021; ;Mandatory contextually-based analyzer
68;00K090000019LvzEAE;00309000003rrXkAAI;00609000002IvKKAA0;Champion;00309000003rrXkAAI;00109000005ftJKAAY;Heidi Bass;Chief Executive Officer;00609000002IvKKAA0;00109000005ftJKAAY;New Business;00509000000Wm9iAAC; ; ;2018-11-12;2018-05-03;Lost;Marketing;0.0;0.0;EUR; ; ;Progressive real-time definition
69;00K090000019Lw0EAE;00309000003rnNLAAY;00609000002IvANAA0;Champion;00309000003rnNLAAY;00109000005ftWhAAI;Logan Houston;Sports coach;00609000002IvANAA0;00109000005fsY5AAI;New Business;00509000000V8gHAAS; ; ;2019-04-30;2018-04-18;Lost;Marketing;0.0;0.0;EUR; ; ;Progressive attitude-oriented project
70;00K090000019Lw1EAE;00309000003roYAAAY;00609000002IvMXAA0;Champion;00309000003roYAAAY;00109000005ftZjAAI;Patrick Jennings;Health visitor;00609000002IvMXAA0;00109000005ftZjAAI;New Business;00509000000WaPyAAK; ; ;2018-12-21;2018-05-03;Lost;Marketing;0.0;0.0;EUR; ; ;Devolved non-volatile forecast
