id/team_country__c/fullname/team_name
00509000000WaNiAAK/EU/April Gibson/Sales EU
00509000000WaLsAAK/EU/Perry Davenport/Sales EU
00509000000WaPFAA0/EU/Patrick Ward/Sales EU
00509000000WaMqAAK/EU/Anna Hicks/Sales EU
00509000000WaM1AAK/EU/Melissa Smith/Sales EU
00509000000WaOlAAK/EU/Rachel Short/Sales EU
00509000000WaNnAAK/EU/Timothy Soto/Sales EU
00509000000WaP0AAK/EU/Cheryl Cook/Sales EU
00509000000WaO2AAK/EU/Vincent Matthews/Sales EU
00509000000WaNOAA0/EU/Jenna Wells/Sales EU
00509000000WaOwAAK/EU/Anthony Hayes/Sales EU
00509000000WaKpAAK/EU/Derrick Knapp/Sales EU
00509000000WaLIAA0/EU/Carrie York/Sales EU
00509000000WaMBAA0/EU/Timothy Roth/Sales EU
00509000000WaQSAA0/EU/Matthew Turner/Sales EU
00509000000WaL3AAK/EU/George Smith/Sales EU
00509000000WaPoAAK/EU/Christopher Hicks/Sales EU
00509000000WaN4AAK/EU/Heather Hall/Sales EU
00509000000WaPjAAK/EU/Sally Harmon/Sales EU
00509000000WaMkAAK/EU/David Burch/Sales EU
00509000000WaMVAA0/EU/Barbara Rogers/Sales EU
00509000000WaN9AAK/EU/Keith Marks/Sales EU
00509000000WaORAA0/EU/Larry Galloway/Sales EU
00509000000WaNxAAK/EU/Matthew Mathews/Sales EU
00509000000WaLdAAK/EU/Todd Stevens/Sales EU
00509000000WaPQAA0/EU/Jenna Willis MD/Sales EU
00509000000WaLmAAK/EU/Phillip Adams/Sales EU
00509000000WaLhAAK/EU/David Sharp/Sales EU
00509000000WaKlAAK/EU/Patricia Taylor/Sales EU
00509000000WaQIAA0/EU/Cassidy Myers/Sales EU
00509000000WaKPAA0/EU/Nathan Brown/Sales EU
00509000000WaNJAA0/EU/Robert Lewis/Sales EU
00509000000WaPUAA0/EU/Daniel Harris/Sales EU
00509000000WaLwAAK/EU/Nicholas Bradley/Sales EU
00509000000WaMaAAK/EU/Lindsey Myers/Sales EU
00509000000WaMRAA0/EU/Amber Young/Sales EU
00509000000WaLSAA0/EU/Kenneth Hess/Sales EU
00509000000WaOCAA0/EU/Melanie Evans/Sales EU
00509000000WaPZAA0/EU/Jackie Walsh/Sales EU
00509000000WaMvAAK/EU/Billy Johnson/Sales EU
00509000000WaOMAA0/EU/Deanna Mejia/Sales EU
00509000000WaMpAAK/EU/Ray Neal/Sales EU
00509000000WaKKAA0/EU/Michael Dillon/Sales EU
00509000000WaQNAA0/EU/Connie Patel/Sales EU
00509000000WaKyAAK/EU/Jennifer Torres/Sales EU
00509000000WaPKAA0/EU/Joseph Johnston/Sales EU
00509000000WaL8AAK/EU/Anthony Berger/Sales EU
00509000000WaMrAAK/EU/Regina Haynes/Sales EU
00509000000WaNYAA0/EU/Kathy Richards/Sales EU
00509000000WaNfAAK/EU/Amanda Hernandez/Sales EU
00509000000WaLnAAK/EU/Kathleen Brown/Sales EU
00509000000WaLrAAK/EU/Rebecca Jones/Sales EU
00509000000WaLXAA0/EU/Jessica Fuller/Sales EU
00509000000WaMGAA0/EU/Donna Garcia/Sales EU
00509000000WaLDAA0/EU/Kimberly Thompson/Sales EU
00509000000WaNPAA0/EU/Kimberly Lee/Sales EU
00509000000WaMcAAK/EU/Jason Pittman DDS/Sales EU
00509000000WaOvAAK/EU/Joseph Kemp/Sales EU
00509000000WaQ8AAK/EU/Bruce Coffey/Sales EU
00509000000WaMHAA0/EU/Amanda Thomas/Sales EU
00509000000WaKjAAK/EU/Michael Trevino/Sales EU
00509000000WaNeAAK/EU/Mary Barnes/Sales EU
00509000000WaPkAAK/EU/Jessica Weeks/Sales EU
00509000000WaMfAAK/EU/Carolyn Hernandez/Sales EU
00509000000WaNdAAK/EU/James Estrada/Sales EU
00509000000WaOgAAK/EU/Nicholas Hanson/Sales EU
00509000000WaPeAAK/EU/Brian Lee/Sales EU
00509000000WaO7AAK/EU/Ian Murphy/Sales EU
00509000000WaOHAA0/EU/Allison Carson/Sales EU
00509000000WaKtAAK/EU/Dana Moss/Sales EU
00509000000WaPAAA0/EU/Philip Collins/Sales EU
00509000000WaL9AAK/EU/James Mason/Sales EU
00509000000WaKaAAK/EU/Mary Lewis/Sales EU
00509000000V8eMAAS/EU/Matthew Turner/Sales EU
00509000000V8efAAC/EU/Jennifer Johnston/Sales EU
00509000000V8ekAAC/EU/Kenneth Hurst/Sales EU
00509000000WaQDAA0/EU/Paula Hunter/Sales EU
00509000000V8epAAC/EU/Dennis Church/Sales EU
00509000000V8eaAAC/EU/Laura Oconnor/Sales EU
00509000000V8fJAAS/EU/David Meyer/Sales EU
00509000000V8fEAAS/EU/Lisa Mcdaniel/Sales EU
00509000000V8fOAAS/EU/Rebecca Perez/Sales EU
00509000000WaKeAAK/EU/Ashley Richardson/Sales EU
00509000000WaKUAA0/EU/Amanda Johnson/Sales EU
00509000000WaP1AAK/US/Miguel Shaw/Sales US
00509000000WaKZAA0/EU/Samuel Horton/Sales EU
00509000000WaMCAA0/EU/Carol Walls/Sales EU
00509000000WaOqAAK/EU/Melissa Hopkins/Sales EU
00509000000V8g7AAC/EU/Patricia Davis/Sales EU
00509000000WaMuAAK/EU/Jasmine Collins/Sales EU
00509000000V4BKAA0/EU/Mark Frank/Sales EU
00509000000WaQ3AAK/EU/Sandra Holmes/Sales EU
00509000000WaMQAA0/EU/Diana Martinez/Sales EU
00509000000V8fiAAC/EU/Rachel Bean/Sales EU
00509000000V8fxAAC/EU/Hayley Barrett/Sales EU
00509000000V8gHAAS/EU/Ashley Garcia/Sales EU
00509000000V8gMAAS/EU/Alyssa Anderson/Sales EU
00509000000V8fYAAS/EU/Crystal Holmes/Sales EU
00509000000V8gCAAS/EU/Jessica Tran/Sales EU
00509000000V8fdAAC/EU/Jeremiah King/Sales EU
00509000000V8XyAAK/EU/Michael Taylor/Sales EU
00509000000V8fsAAC/EU/Valerie Collins/Sales EU
00509000000V8fnAAC/EU/Caitlin Villegas/Sales EU
00509000000V8gRAAS/EU/Diane Howard/Sales EU
00509000000V8g2AAC/EU/Melissa Brown/Sales EU
00509000002DYMOAA4/EU/Brandon Allen/Sales EU
00509000000V8fTAAS/EU/Christopher Snyder/Sales EU
00509000000V8eNAAS/EU/Joel Cruz/Sales EU
00509000000X0nAAAS/EU/Melanie Anderson/Sales EU
00509000000WaMzAAK/US/Lisa Fletcher/Sales US
00509000000WaP5AAK/EU/Patrick Patel/Sales EU
00509000000WaOWAA0/EU/Ashley Cooper/Sales EU
00509000000WaNTAA0/EU/Ariana Anderson/Sales EU
00509000000WaLcAAK/EU/Julie Smith/Sales EU
00509000000WaQXAA0/EU/Mike Carroll/Sales EU
00509000000WaKbAAK/EU/Lisa Barrett/Sales EU
00509000000WaPtAAK/US/Tammy Bennett/Sales US
00509000000WaObAAK/US/Dennis Martinez/Sales US
00509000002DYUtAAO/EU/Shane Brady/Sales EU
00509000000WaM6AAK/EU/Tammy Barnes/Sales EU
00509000000WaKoAAK/EU/Melissa Cole/Sales EU
00509000000WaKkAAK/EU/Andrea Perez/Sales EU
00509000000WaQcAAK/EU/Amanda Martinez/Sales EU
00509000000WaMLAA0/EU/Courtney Meyer/Sales EU
00509000000WaMlAAK/EU/Ashley Berry/Sales EU
00509000000c97AAAQ/EU/Michelle Adams/Sales EU
00509000000c97DAAQ/EU/Caleb Holloway/Sales EU
0050900000AMuaWAAT/EU/Melissa Mccarthy/Sales EU
00509000002B7o3AAC/EU/Patricia Collins/Sales EU
00509000000UliaAAC/EU/Christina Cobb/Sales EU
00509000006wmV0AAI/EU/Deborah Martinez/Sales EU
0050900000ANTnjAAH/EU/Brittany Newton/Sales EU
0050900000AN96iAAD/EU/Holly Good/Sales EU
00509000006vWKBAA2/EU/Eileen Rodriguez/Sales EU
0055q000000gtDWAAY/EU/Amy Roberts/Sales EU
0050900000AMxKcAAL/EU/Phillip Ortiz/Sales EU
0050900000ANKCjAAP/EU/Terri Robinson/Sales EU
00509000006yCJuAAM/EU/Shannon Williams/Sales EU
0055q000000gzMUAAY/EU/Angela Hamilton/Sales EU
00509000004XWqUAAW/EU/Brian Johnson/Sales EU
0055q000000hBJdAAM/EU/Joshua Fox/Sales EU
00509000006y830AAA/EU/Jessica Duncan/Sales EU
00509000004WjpUAAS/EU/Heather Christian/Sales EU
00509000005IQZKAA4/EU/Amanda Anderson/Sales EU
0050900000ANCIwAAP/EU/Jeffrey Price/Sales EU
0050900000ANW94AAH/US/Mary Glover/Sales US
0055q000000h4tPAAQ/EU/John Cook/Sales EU
00509000002EI0DAAW/EU/Alicia Williams/Sales EU
0055q000000h4tKAAQ/EU/Connie Chan/Sales EU
00509000006y8rGAAQ/EU/Angel Stewart/Sales EU
00509000000V8h0AAC/EU/William Arnold/Sales EU
0055q000000gwwFAAQ/EU/Danielle Gillespie/Sales EU
00509000003zITvAAM/EU/Julia Moreno/Sales EU
0055q000000h29YAAQ/EU/Jackie Walker/Sales EU
0050900000AN9bqAAD/EU/Michael Wright/Sales EU
0055q000000gzFEAAY/EU/Darius Stevens MD/Sales EU
00509000006xUGvAAM/US/Ronnie Martinez/Sales US
00509000005Ll13AAC/US/Samuel Jordan/Sales US
00509000003wRtxAAE/EU/Cathy Melendez/Sales EU
0050900000AOxutAAD/EU/Christine Rivera/Sales EU
0050900000AMuqpAAD/EU/Dr. Christina Phillips/Sales EU
00509000006ymPQAAY/EU/Eric Hoffman DDS/Sales EU
00509000003yta7AAA/EU/Elizabeth Adams/Sales EU
00509000008VvsLAAS/EU/Michael Beasley/Sales EU
00509000005M5KVAA0/EU/Donna Clark/Sales EU
00509000003xn7cAAA/US/Alexandra Rogers/Sales US
0050900000ANTieAAH/EU/Stacy Vazquez/Sales EU
00509000008TaVfAAK/EU/Amy Park/Sales EU
00509000005KqCTAA0/EU/Megan Evans/Sales EU
00509000005L21xAAC/EU/Sarah Davis/Sales EU
00509000005LBPiAAO/US/Nancy Best/Sales US
00509000005J6wMAAS/US/Kimberly Gay/Sales US
00509000008Ult4AAC/EU/Lisa Andrews/Sales EU
0050900000AOqAWAA1/EU/Robert Howard/Sales EU
0055q000000h4v6AAA/EU/Michael Ryan/Sales EU
0055q000000h4vQAAQ/EU/Lisa Young/Sales EU
0055q000000h4vVAAQ/EU/Charles Watson/Sales EU
0055q000000h0kNAAQ/EU/Holly Vasquez/Sales EU
0050900000BwvrOAAR/EU/Alexis Burns/Sales EU
0055q000000h4vBAAQ/EU/Courtney Ramirez/Sales EU
0055q000000h4vGAAQ/EU/Timothy Sanchez/Sales EU
0055q000000h4vLAAQ/EU/Todd Stafford/Sales EU
0055q000000h4msAAA/US/Robert Powell/Sales US
