user_fullname;user_email;user_uuid;user_country;user_dept
Johnny Monroe;johnny.monroe@toucan.com;4c5b8b2e-c919-4405-aeb0-4b80f6bc4f9d;United States;Finance
Matthew Kelly;matthew.kelly@toucan.com;e156ba78-5d80-478d-b3fd-2c86c41a8a86;Spain;Executive Board
Emily Hill;emily.hill@toucan.com;ad607df0-e948-4db1-a673-9b194492cea7;France;R&D
Crystal Smith;crystal.smith@toucan.com;e8766f76-5faa-48d4-9181-ec9e843abcd2;Canada;Data
Mary Haynes;mary.haynes@toucan.com;2982a907-9de7-4d71-8724-ff453473faf2;Italy;Customer Operations
Alexander Thomas;alexander.thomas@toucan.com;d3aac300-55ce-4fab-a2cd-e8cdb08ad38e;France;Executive Board
Patricia Kirk;patricia.kirk@toucan.com;6b13078c-aebe-4b10-8374-089db394a907;Canada;Finance
Sheila Houston;sheila.houston@toucan.com;d09fe4d4-0eb6-4507-8882-af61d94b3198;Germany;Finance
Dana Jimenez;dana.jimenez@toucan.com;27942e8e-19b9-43da-88ba-d0f6633997a3;Norway;R&D
Samuel Adams;samuel.adams@toucan.com;4c42c134-6161-48cf-a65b-4924dc6a113c;United States;Finance
Brittany Watts;brittany.watts@toucan.com;0f51590a-ec7f-4ba4-b664-d4eb3adcf74e;United States;R&D
Matthew Garrett;matthew.garrett@toucan.com;90cf894b-815a-4d7a-a336-67d34400b433;Italy;Data
Mr. Jason Harris PhD;mr..jason.harris.phd@toucan.com;084b157c-ed30-445e-bfcb-43af65169684;Bresil;Customer Operations
Ashley Gonzalez;ashley.gonzalez@toucan.com;eb40c6bd-fa41-4832-aad8-4618f3018a05;France;R&D
Harry Lopez;harry.lopez@toucan.com;886dff82-bede-4919-80a4-3b7f1a003e15;Italy;Sales
John Lopez;john.lopez@toucan.com;bdc994c0-11ed-42a1-a7f7-9fe9915ac860;Canada;Data
Alyssa Norman;alyssa.norman@toucan.com;3fd4ff36-90f6-46dd-bcf2-55b1b8dde664;Spain;R&D
Meghan Leach;meghan.leach@toucan.com;6a0f8e50-81b9-4057-863c-09008cffd07e;Canada;Customer Operations
Kathleen Strong;kathleen.strong@toucan.com;c76426df-8a5c-4962-8bb1-d9cef924f697;United States;Finance
Aaron Weaver;aaron.weaver@toucan.com;c7904538-09f1-487b-81e4-88c98d40aff5;Germany;Data
Angel Holmes;angel.holmes@toucan.com;cac582ec-8644-42bc-a88c-e9c43214d0cf;Canada;Customer Operations
Darrell Goodman;darrell.goodman@toucan.com;70e9dd98-fa45-42a2-82f1-45d556ec0cc7;Italy;Customer Operations
Tamara Johnson;tamara.johnson@toucan.com;86d4a814-6b3b-46de-914f-e066f53bb219;United States;Customer Operations
Audrey Chang;audrey.chang@toucan.com;9d988060-6e2c-41db-b86b-dc4a958faad7;Spain;Finance
Susan Greene;susan.greene@toucan.com;1d5a784c-4919-4e95-8cd5-ca3abf815345;Norway;Sales
Peter Dickerson;peter.dickerson@toucan.com;c1de7ad5-e62a-46c1-8267-31dab58fc22f;Bresil;Finance
Bruce Evans;bruce.evans@toucan.com;f955d47b-2fa0-4ca1-b7fb-ae95ca0ab256;Norway;R&D
Tina Jacobs;tina.jacobs@toucan.com;03af0320-0e6e-4a5e-9f9f-60fe1f583567;Spain;Customer Operations
Casey Scott;casey.scott@toucan.com;73378e77-d89b-4896-867c-95a2a614d567;Norway;Data
Angela Norman;angela.norman@toucan.com;acbee34e-dd83-47c2-8f45-a9462e67beb9;Norway;Customer Operations
James Salazar;james.salazar@toucan.com;f8a34e88-9c97-4db8-b3d0-2a411e921d71;Bresil;Finance
Karen James;karen.james@toucan.com;7e667dba-e8cb-4d87-a80d-f4a26bcb7cd4;Norway;Sales
Timothy Bennett;timothy.bennett@toucan.com;d6c24464-9f1e-41e5-b594-f1c1211e7d84;Italy;Sales
Nicole Nguyen;nicole.nguyen@toucan.com;871b2c3f-ddf8-4de7-a40b-e3fb85c816a6;Italy;Data
George Woods;george.woods@toucan.com;02a910d7-f7d2-4ed1-beb2-12918eff17e1;Bresil;R&D
Nathan Welch;nathan.welch@toucan.com;3e207425-b1ba-4a43-9c00-0a19ec4d7389;Germany;Finance
Kimberly Williams;kimberly.williams@toucan.com;20baf3a0-25a5-4239-b698-d6dcd4bef20b;Italy;Finance
Evelyn Gilbert;evelyn.gilbert@toucan.com;ca80f21f-9bf2-4a24-9984-89dc62a54961;Bresil;Executive Board
Michael Carlson;michael.carlson@toucan.com;f8463ab5-d2a1-4f9c-a2a7-53f879e65e90;Norway;Executive Board
Christopher Myers;christopher.myers@toucan.com;04c7999a-c8fa-411d-afd4-a2f81964f03b;United States;Data
Kellie Castillo;kellie.castillo@toucan.com;c6ca897a-5bf3-4f23-a85f-d312a7ff4d2c;Norway;Executive Board
Jon Banks;jon.banks@toucan.com;75a54d81-8bd7-45c9-b9c6-5ee7dcfaa1e8;Canada;Sales
Melinda Roberts;melinda.roberts@toucan.com;71d2b31f-4b59-4953-bc0e-9a711e9cdc95;United States;Data
Donald Richards;donald.richards@toucan.com;17ba4bee-cf8c-4b7f-b7ee-1e4329f9846f;Italy;Sales
Leah Manning;leah.manning@toucan.com;3b6b8d76-4f49-4a81-88fe-0c0418233c87;Spain;Executive Board
Rhonda Holland;rhonda.holland@toucan.com;45d40a0b-090d-4524-8428-601ce251b2a1;Spain;Finance
James Riley;james.riley@toucan.com;741a6c03-b05b-4517-9399-f029d2663caa;Spain;Data
Dwayne Barrera;dwayne.barrera@toucan.com;c5c40682-0057-42b7-afc0-163f127845ce;Bresil;Executive Board
Melissa Martinez;melissa.martinez@toucan.com;d4795896-0991-47ad-b1ef-8478552f2fa5;Canada;R&D
Elizabeth Bowen;elizabeth.bowen@toucan.com;ebad043a-5685-430a-831b-cb11519e7a3a;Bresil;Sales
Aaron Tran;aaron.tran@toucan.com;882dafff-805c-497d-bad5-e48ce6c957c5;Germany;Finance
Sandra Adams;sandra.adams@toucan.com;da406f4f-0ca1-41ee-8c01-f5892da96cc0;Italy;Customer Operations
Richard Carter;richard.carter@toucan.com;69a0d749-3a52-4f71-a6bc-6bf0e9c278e4;Spain;Executive Board
Jennifer Lee;jennifer.lee@toucan.com;1c336c5e-2d70-4a6b-8c2d-58f81b8b83d4;Italy;Executive Board
Wanda Walsh;wanda.walsh@toucan.com;005e6147-fa8f-4aba-bb97-af210e391f5c;Spain;Executive Board
Mathew Hansen;mathew.hansen@toucan.com;d1493107-d876-47bd-828f-7c5f9b224c07;Bresil;R&D
Jerry Scott;jerry.scott@toucan.com;4f6acb40-86ce-4d26-88fc-5604ec08cae5;Canada;Customer Operations
Katrina Gregory;katrina.gregory@toucan.com;53107f9d-fa6a-491d-a7e3-e26cc689cc70;United States;Executive Board
Mrs. Kathleen Curtis;mrs..kathleen.curtis@toucan.com;989d3f16-7735-403e-828e-429119b54f3a;Italy;Customer Operations
Kristin Holloway;kristin.holloway@toucan.com;bf4a4145-6b79-4015-9bcd-14c9d010bab2;France;Data
Penny Arnold;penny.arnold@toucan.com;4d3a1aec-75f7-4305-8879-515b8dd08f66;Bresil;Executive Board
Frank Michael;frank.michael@toucan.com;2e9c35ca-2ad7-43d7-a989-163a358fb98f;France;Data
Tiffany Harris;tiffany.harris@toucan.com;c369c752-0395-41da-98ae-eec9335729f1;Germany;Data
Donald Rivera;donald.rivera@toucan.com;4e384116-294b-40e0-abf7-8899141eea0e;Germany;Customer Operations
Lisa Carson;lisa.carson@toucan.com;7d43c8c5-faba-467f-8e47-df03e6afcbdd;France;Finance
Tommy Rice;tommy.rice@toucan.com;162ea253-b09b-4706-97b1-deac2c315398;Bresil;Executive Board
Ryan Johnson;ryan.johnson@toucan.com;aa9e7de9-a7cd-4e8a-a9ef-0f3ae571ec86;Norway;Data
Gabriel Chavez;gabriel.chavez@toucan.com;11b999f7-f76e-45c4-a4a1-12f487653f66;Bresil;Finance
Zachary Taylor;zachary.taylor@toucan.com;0ad7f9e3-755b-4daa-9b3c-fcbd7ce94fee;Norway;Data
Jerry Hale;jerry.hale@toucan.com;03ad168d-04ab-49e3-a1fd-01aef31c77a6;United States;Data
Dylan Mann;dylan.mann@toucan.com;8c0b38cf-72df-49a7-ac5b-bce0ff94e905;Bresil;Sales
Andrew Burke;andrew.burke@toucan.com;bf87246b-8fa8-47bb-9ce4-d2a642a8e44a;Bresil;Executive Board
Melissa Prince;melissa.prince@toucan.com;0d978ae2-6a9d-4dfe-824b-b19158f3f04f;United States;Customer Operations
Jon Kim;jon.kim@toucan.com;83f49575-84ea-4343-816e-598aa778e649;Germany;Finance
Patrick Marquez;patrick.marquez@toucan.com;16ef4c3d-5a41-444f-b859-3b8923171931;Bresil;Data
Dillon Roberts;dillon.roberts@toucan.com;2dd99880-9251-4126-a017-e1cf4e6f2edf;Bresil;R&D
Eduardo Kidd;eduardo.kidd@toucan.com;dfb0b856-321a-487e-8cc3-9c459cc142c4;France;Executive Board
Mark King;mark.king@toucan.com;d5baef99-4e03-4371-9ec1-212234b9374b;Norway;Customer Operations
Michael Rodriguez;michael.rodriguez@toucan.com;79b8fbce-0817-4853-b4c7-e9b1ac9d4e6f;Canada;Finance
Pamela Edwards;pamela.edwards@toucan.com;01d10b7b-84ff-4773-a487-0f7d6d89e0a7;France;Sales
Valerie Lee;valerie.lee@toucan.com;885c6fed-cf95-4fea-a8bf-31153fbc11f0;France;R&D
Steven Cole;steven.cole@toucan.com;a1843008-4a83-46d9-af02-61b69d57840c;United States;Sales
Vincent Carter;vincent.carter@toucan.com;a771fd58-f521-47c2-81da-9d89d469e2a4;Norway;Sales
Stefanie Smith;stefanie.smith@toucan.com;e70332fe-4b53-4222-a7ce-5dafd86eb520;United States;R&D
Kevin Norton;kevin.norton@toucan.com;a84b4c8c-6245-4b5f-b385-8a2d7e777671;Germany;Sales
Caitlyn Davila;caitlyn.davila@toucan.com;2bfff13c-496f-4a19-98cc-0bb06828007e;United States;Data
Katherine Ward;katherine.ward@toucan.com;afa9fa2a-2bf4-4cfd-ae15-3cd2e91f4a7b;Italy;Customer Operations
Bradley Holloway;bradley.holloway@toucan.com;f14a54b6-b32e-4c4b-99f4-9b0a3bc2b28e;Germany;Customer Operations
Jeffrey Oconnell;jeffrey.oconnell@toucan.com;00be4e64-7d03-4e25-9ccf-aae596e42cc6;Spain;Sales
Theresa Miller;theresa.miller@toucan.com;5a013159-baa4-4026-ac46-83d394aa23da;France;Customer Operations
Tyler Reeves;tyler.reeves@toucan.com;0ccf1497-a935-4c54-a8cc-3a09c115f43f;Germany;Finance
Caleb Davis;caleb.davis@toucan.com;7d909607-606f-4e7b-802c-492b9af43bd6;Spain;Customer Operations
Tammy Brown;tammy.brown@toucan.com;60f64bb9-ee26-4c23-8383-a2d28de20c15;Bresil;Finance
Kathy Ryan;kathy.ryan@toucan.com;58ad2b70-cf67-43b7-b504-33830bedc0ad;Spain;Sales
Melissa Mcintosh;melissa.mcintosh@toucan.com;c03093f5-9013-499d-95ca-12bedebb5ad3;United States;Customer Operations
Joshua Hall;joshua.hall@toucan.com;a9806669-9468-4337-8e1f-5d1c6ac710cd;Germany;Finance
David Steele;david.steele@toucan.com;845c04e8-1636-4a94-a02a-2d36e1d7ec06;Spain;Finance
Hannah Brooks;hannah.brooks@toucan.com;1f09b0f4-9bb8-4352-84ad-f115c7bdbe10;Norway;Customer Operations
Rebecca Williams;rebecca.williams@toucan.com;159e3af8-e724-46b1-90ea-4a23b290a85a;Bresil;Executive Board
Eric Lewis;eric.lewis@toucan.com;49d561d0-8780-44c0-a6a0-29e59c196e08;Canada;R&D
Dawn Willis;dawn.willis@toucan.com;821ae74f-395e-463d-b717-c172a67e4ade;Bresil;Finance
